year,Month,fullMonth,StartDate,EndDate,dist,Outfit,Civlian,Security Forces,Militants,Total,Injured
2013,7,July,7/9/13,7/9/13,Kupwara,HM,0,0,5,5,0
2013,7,July,7/1/13,7/1/13,Pulwama,HM,0,1,3,4,0
2013,6,June,6/24/13,6/24/13,Srinagar,HM,0,8,0,8,11
2013,6,June,6/1/13,6/1/13,Kupwara,NS,0,0,3,3,0
2013,5,May,5/24/13,5/24/13,Pulwama,HM,0,4,1,5,0
2013,4,April,4/26/13,4/26/13,Baramulla,HM,0,4,0,4,0
2013,3,March,3/13/13,3/13/13,Srinagar,LeT/HM,0,5,2,7,10
2012,12,December,12/24/12,12/24/12,Kulgam,LeT,0,1,2,3,0
2012,12,December,12/18/12,12/18/12,Baramulla,LeT,0,0,6,6,0
2012,11,November,11/14/12,11/14/12,Kupwara,NS,0,3,2,5,0
2012,11,November,11/9/12,11/9/12,Kupwara,NS,0,0,4,4,2
2012,10,October,10/1/12,10/1/12,Ganderbal,HM,0,0,5,5,0
2012,9,September,9/25/12,9/25/12,Kupwara,LeT,0,1,2,3,2
2012,7,July,7/5/12,7/5/12,Kupwara,NS,0,0,3,3,0
2012,5,May,5/10/12,5/10/12,Baramulla,NS,0,0,6,6,0
2012,4,April,4/5/12,4/5/12,Kupwara,LeT,0,0,5,5,0
2011,10,October,10/1/11,10/2/11,Kupwara,NS,0,0,5,5,0
2011,9,September,9/27/11,9/27/11,Kupwara,NS,0,3,5,8,0
2011,9,September,9/26/11,9/26/11,Kupwara,NS,0,1,3,4,2
2011,8,August,8/20/11,8/20/11,Bandipora,NS,0,1,12,13,2
2011,7,July,7/30/11,7/31/11,Kupwara,NS,0,2,0,2,3
2011,7,July,7/15/11,7/15/11,Kupwara,LeT,0,1,5,6,5
2011,2,February,2/8/11,2/8/11,Ramban,HM,0,0,3,3,0
2010,11,November,11/25/10,11/25/10,Poonch,LeT,0,0,3,3,0
2010,10,October,10/23/10,10/23/10,Baramullah,NS,0,0,3,3,0
2010,10,October,10/21/10,10/21/10,Srinagar,LeT,0,0,3,3,0
2010,10,October,10/14/10,10/14/10,Shopian,HM,0,0,3,3,0
2010,10,October,10/1/10,10/1/10,Kupwara,NS,0,0,5,5,0
2010,10,October,10/1/10,10/1/10,Ganderbal,NS,0,1,3,4,3
2010,9,September,9/29/10,9/29/10,Rajouri,LeT,0,0,3,3,0
2010,9,September,9/19/10,9/19/10,Bandipora,NS,0,1,2,3,0
2010,9,September,9/16/10,9/16/10,Pulwama,NS,0,0,5,5,0
2010,9,September,9/16/10,9/16/10,Bandipora,NS,0,2,2,4,0
2010,9,September,9/13/10,9/13/10,Bandipora,NS,0,0,3,3,0
2010,9,September,9/8/10,9/8/10,Bandipora,NS,0,0,7,7,0
