month,attack,civ,sec,mil,tot
January,5,1,4,14,19
February,4,0,15,18,33
March,7,7,17,21,45
April,8,0,14,21,35
May,7,1,10,25,36
June,6,1,11,17,29
July,14,4,6,43,53
August,17,1,20,53,74
September,22,4,20,81,105
October,12,0,6,39,45
November,7,6,6,22,34
December,8,3,14,28,45
